country,source,count
Brazil,4-koma manga,1
Brazil,Game,4
Brazil,Light novel,17
Brazil,Manga,50
Brazil,Novel,7
Brazil,Original,34
Brazil,Visual novel,6
Brazil,Web manga,1
Bulgaria,4-koma manga,2
Bulgaria,Game,4
Bulgaria,Light novel,47
Bulgaria,Manga,171
Bulgaria,Novel,12
Bulgaria,Original,46
Bulgaria,Other,3
Bulgaria,Unknown,16
Bulgaria,Visual novel,20
Bulgaria,Web manga,1
Canada,4-koma manga,2
Canada,Light novel,24
Canada,Manga,60
Canada,Novel,3
Canada,Original,33
Canada,Unknown,2
Canada,Visual novel,17
Finland,4-koma manga,4
Finland,Light novel,1
Finland,Manga,33
Finland,Original,5
Finland,Unknown,3
France,4-koma manga,37
France,Card game,4
France,Game,55
France,Light novel,146
France,Manga,320
France,Novel,19
France,Original,93
France,Other,5
France,Unknown,46
France,Visual novel,44
France,Web manga,6
Georgia,4-koma manga,2
Georgia,Book,1
Georgia,Light novel,20
Georgia,Manga,84
Georgia,Novel,4
Georgia,Original,29
Georgia,Visual novel,13
Georgia,Web manga,2
Germany,Light novel,2
Germany,Manga,23
Germany,Novel,4
Germany,Original,13
Germany,Other,1
Germany,Visual novel,2
Hungary,4-koma manga,1
Hungary,Game,7
Hungary,Light novel,11
Hungary,Manga,52
Hungary,Novel,6
Hungary,Original,19
Hungary,Other,5
Hungary,Unknown,3
Hungary,Visual novel,4
Israel,4-koma manga,2
Israel,Book,2
Israel,Card game,1
Israel,Game,24
Israel,Light novel,26
Israel,Manga,143
Israel,Novel,3
Israel,Original,65
Israel,Other,1
Israel,Unknown,10
Israel,Visual novel,28
Norway,4-koma manga,5
Norway,Game,9
Norway,Light novel,64
Norway,Manga,149
Norway,Novel,10
Norway,Original,71
Norway,Other,3
Norway,Unknown,3
Norway,Visual novel,30
Norway,Web manga,1
Pakistan,4-koma manga,1
Pakistan,Game,4
Pakistan,Light novel,42
Pakistan,Manga,80
Pakistan,Novel,4
Pakistan,Original,36
Pakistan,Unknown,1
Pakistan,Visual novel,31
Poland,4-koma manga,5
Poland,Game,24
Poland,Light novel,134
Poland,Manga,323
Poland,Novel,22
Poland,Original,106
Poland,Other,6
Poland,Unknown,6
Poland,Visual novel,44
Poland,Web manga,2
Portugal,4-koma manga,3
Portugal,Book,1
Portugal,Card game,1
Portugal,Game,12
Portugal,Light novel,16
Portugal,Manga,105
Portugal,Novel,17
Portugal,Original,50
Portugal,Other,3
Portugal,Unknown,2
Portugal,Visual novel,7
Portugal,Web manga,3
Romania,4-koma manga,2
Romania,Book,1
Romania,Card game,8
Romania,Game,62
Romania,Light novel,54
Romania,Manga,366
Romania,Novel,19
Romania,Original,84
Romania,Other,3
Romania,Unknown,33
Romania,Visual novel,21
Romania,Web manga,17
Russia,4-koma manga,45
Russia,Book,3
Russia,Card game,2
Russia,Digital manga,1
Russia,Game,44
Russia,Light novel,327
Russia,Manga,540
Russia,Novel,50
Russia,Original,217
Russia,Other,31
Russia,Unknown,80
Russia,Visual novel,112
Russia,Web manga,16
Spain,4-koma manga,4
Spain,Book,1
Spain,Game,9
Spain,Light novel,53
Spain,Manga,246
Spain,Novel,8
Spain,Original,69
Spain,Other,2
Spain,Unknown,15
Spain,Visual novel,45
Sweden,4-koma manga,1
Sweden,Game,21
Sweden,Light novel,27
Sweden,Manga,128
Sweden,Novel,5
Sweden,Original,30
Sweden,Other,1
Sweden,Unknown,9
Sweden,Visual novel,12
Sweden,Web manga,1
Turkey,4-koma manga,3
Turkey,Game,5
Turkey,Light novel,18
Turkey,Manga,76
Turkey,Novel,4
Turkey,Original,23
Turkey,Other,2
Turkey,Unknown,4
Turkey,Visual novel,5
United Kingdom,4-koma manga,26
United Kingdom,Book,2
United Kingdom,Game,26
United Kingdom,Light novel,162
United Kingdom,Manga,375
United Kingdom,Novel,37
United Kingdom,Original,144
United Kingdom,Other,7
United Kingdom,Unknown,22
United Kingdom,Visual novel,62
United Kingdom,Web manga,14
United States,4-koma manga,50
United States,Book,5
United States,Game,67
United States,Light novel,332
United States,Manga,1179
United States,Music,2
United States,Novel,119
United States,Original,667
United States,Other,30
United States,Unknown,77
United States,Visual novel,165
United States,Web manga,11
