country,gender,Completed,Watching,Rewatched,Dropped
Brazil,Male,6360.0,480.0,240.0,3120.0
Bulgaria,Female,20108.0,3904.0,2616.0,2847.0
Canada,Male,18189.0,846.0,1833.0,423.0
Finland,Male,1840.0,276.0,0.0,0.0
France,Male,279000.0,16120.0,4340.0,17205.0
Georgia,Female,14260.0,8835.0,0.0,0.0
Germany,Male,7020.0,135.0,1215.0,180.0
Hungary,Male,6696.0,1188.0,2160.0,756.0
Israel,Male,71675.0,1830.0,0.0,915.0
Norway,Male,114195.0,4140.0,36915.0,2415.0
Pakistan,Male,16716.0,8557.0,1393.0,3184.0
Poland,Male,177054.0,41172.0,780.0,10194.0
Portugal,Male,16280.0,660.0,880.0,13200.0
Romania,Female,548060.0,4020.0,14740.0,8710.0
Russia,Male,787814.0,76845.0,17342.0,17180.0
Spain,Male,168144.0,19436.0,67348.0,3164.0
Sweden,Female,2046.0,496.0,558.0,124.0
Sweden,Male,24912.0,2595.0,0.0,173.0
Turkey,Male,13160.0,980.0,0.0,2380.0
United Kingdom,Female,6052.0,356.0,534.0,0.0
United Kingdom,Male,754116.0,788.0,12608.0,10244.0
United States,Male,916760.0,126330.0,175267.0,93826.0
